id,context,en
entity.alliance_battleship.name,assets/entities/alliance_battleship.toml → name (top level),Alliance Battleship
entity.alliance_battleship.hull.system_hull.helm_engine_port.display_name,assets/entities/alliance_battleship.toml → [hull.system_hull] display_name,Engine (Port)
entity.alliance_battleship.hull.system_hull.helm_engine_starboard.display_name,assets/entities/alliance_battleship.toml → [hull.system_hull] display_name,Engine (Starboard)
entity.alliance_battleship.power_groups.helm.label,assets/entities/alliance_battleship.toml → [power_groups.helm] label,Propulsion
entity.alliance_battleship.power_groups.weapons.label,assets/entities/alliance_battleship.toml → [power_groups.weapons] label,Weapons
entity.alliance_battleship.power_groups.shields.label,assets/entities/alliance_battleship.toml → [power_groups.shields] label,Shields
entity.alliance_battleship.station.captain.description,assets/entities/alliance_battleship.toml → [station] description,Command the ship.
entity.alliance_battleship.station.helm.description,assets/entities/alliance_battleship.toml → [station] description,Pilot the ship.
entity.alliance_battleship.station.tactical.description,assets/entities/alliance_battleship.toml → [station] description,[Manage weapons systems.]
entity.alliance_battleship.station.repair.description,assets/entities/alliance_battleship.toml → [station] description,[Maintain and repair ship systems.]
entity.alliance_battleship.station.sensors.description,assets/entities/alliance_battleship.toml → [station] description,[Monitor long-range sensors.]
entity.alliance_battleship.station.shields.description,assets/entities/alliance_battleship.toml → [station] description,[Manage shield systems.]
entity.alliance_battleship.station.navigation.description,assets/entities/alliance_battleship.toml → [station] description,[Plot course and navigate.]
entity.alliance_battleship.station.power.description,assets/entities/alliance_battleship.toml → [station] description,[Manage ship power systems.]
entity.alliance_battleship.station.comms.description,assets/entities/alliance_battleship.toml → [station] description,[Hail stations and relay intelligence.]
entity.alliance_courier.name,assets/entities/alliance_courier.toml → name (top level),Alliance Courier
entity.alliance_courier.hull.system_hull.helm_engine_port.display_name,assets/entities/alliance_courier.toml → [hull.system_hull] display_name,Engine (Port)
entity.alliance_courier.hull.system_hull.helm_engine_starboard.display_name,assets/entities/alliance_courier.toml → [hull.system_hull] display_name,Engine (Starboard)
entity.alliance_courier.hull.system_hull.helm_lateral_thrust.display_name,assets/entities/alliance_courier.toml → [hull.system_hull] display_name,Lateral Thrusters
entity.alliance_courier.power_groups.helm.label,assets/entities/alliance_courier.toml → [power_groups.helm] label,Propulsion
entity.alliance_courier.power_groups.weapons.label,assets/entities/alliance_courier.toml → [power_groups.weapons] label,Weapons
entity.alliance_courier.power_groups.shields.label,assets/entities/alliance_courier.toml → [power_groups.shields] label,Shields
entity.alliance_courier.station.captain.description,assets/entities/alliance_courier.toml → [station] description,"[Command the ship, coordinate the mission and manage its support systems.]"
entity.alliance_courier.station.tactical.description,assets/entities/alliance_courier.toml → [station] description,"[Fly the Courier, track contacts and operate its blaster.]"
entity.alliance_cruiser.name,assets/entities/alliance_cruiser.toml → name (top level),Alliance Cruiser
entity.alliance_cruiser.display_name,"Player-facing SHIP NAME (title) for the Alliance cruiser hull. John-specified as ""AEV Phoenix""; bracketed only per the unratified-copy convention, not because the value is a placeholder.",[AEV Phoenix]
entity.alliance_destroyer.display_name,Player-facing SHIP NAME (title) for the Alliance destroyer hull — [ai] placeholder awaiting John's ratification,[AEV Vanguard]
entity.alliance_battleship.display_name,Player-facing SHIP NAME (title) for the Alliance battleship hull — [ai] placeholder awaiting John's ratification,[AEV Sovereign]
entity.alliance_courier.display_name,Player-facing SHIP NAME (title) for the Alliance courier hull — [ai] placeholder awaiting John's ratification,[AEV Kestrel]
entity.ship_harrow_patrol.display_name,Player-facing SHIP NAME (title) for the Harrow patrol hull — [ai] faction-appropriate placeholder awaiting John's ratification,[Harrow Ravener]
entity.ship_harrow_cruiser.display_name,Player-facing SHIP NAME (title) for the Harrow cruiser hull — [ai] faction-appropriate placeholder awaiting John's ratification,[Harrow Desolation]
entity.ship_harrow_destroyer.display_name,Player-facing SHIP NAME (title) for the Harrow destroyer hull — [ai] faction-appropriate placeholder awaiting John's ratification,[Harrow Ironmaw]
entity.ship_harrow_warhawk.display_name,Player-facing SHIP NAME (title) for the Harrow warhawk hull — [ai] faction-appropriate placeholder awaiting John's ratification,[Harrow Talon]
entity.ship_requiem_courier.display_name,Player-facing SHIP NAME (title) for the Requiem courier hull — [ai] faction-appropriate placeholder awaiting John's ratification,[Requiem Wren]
entity.alliance_cruiser.hull.system_hull.science.display_name,assets/entities/alliance_cruiser.toml → [hull.system_hull] display_name,Science
entity.alliance_cruiser.hull.system_hull.helm_engine_port.display_name,assets/entities/alliance_cruiser.toml → [hull.system_hull] display_name,Engine (Port)
entity.alliance_cruiser.hull.system_hull.helm_engine_starboard.display_name,assets/entities/alliance_cruiser.toml → [hull.system_hull] display_name,Engine (Starboard)
entity.alliance_cruiser.hull.system_hull.helm_lateral_thrust.display_name,assets/entities/alliance_cruiser.toml → [hull.system_hull] display_name,Lateral Thrusters
entity.alliance_cruiser.power_groups.helm.label,assets/entities/alliance_cruiser.toml → [power_groups.helm] label,Propulsion
entity.alliance_cruiser.power_groups.weapons.label,assets/entities/alliance_cruiser.toml → [power_groups.weapons] label,Weapons
entity.alliance_cruiser.power_groups.shields.label,assets/entities/alliance_cruiser.toml → [power_groups.shields] label,Shields
entity.alliance_cruiser.station.captain.description,assets/entities/alliance_cruiser.toml → [station] description,Command the ship.
entity.alliance_cruiser.station.helm.description,assets/entities/alliance_cruiser.toml → [station] description,Pilot the ship.
entity.alliance_cruiser.station.tactical.description,assets/entities/alliance_cruiser.toml → [station] description,[Manage weapons systems.]
entity.alliance_cruiser.station.science.description,assets/entities/alliance_cruiser.toml → [station] description,[Monitor sensors and manage shields.]
entity.alliance_cruiser.station.engineering.description,assets/entities/alliance_cruiser.toml → [station] description,[Manage power and repairs.]
entity.alliance_cruiser.station.comms.description,assets/entities/alliance_cruiser.toml → [station] description,"[Hail stations, plot course and navigate.]"
entity.alliance_destroyer.name,assets/entities/alliance_destroyer.toml → name (top level),Alliance Destroyer
entity.alliance_destroyer.hull.system_hull.helm_engine_port.display_name,assets/entities/alliance_destroyer.toml → [hull.system_hull] display_name,Engine (Port)
entity.alliance_destroyer.hull.system_hull.helm_engine_starboard.display_name,assets/entities/alliance_destroyer.toml → [hull.system_hull] display_name,Engine (Starboard)
entity.alliance_destroyer.hull.system_hull.helm_lateral_thrust.display_name,assets/entities/alliance_destroyer.toml → [hull.system_hull] display_name,Lateral Thrusters
entity.alliance_destroyer.power_groups.helm.label,assets/entities/alliance_destroyer.toml → [power_groups.helm] label,Propulsion
entity.alliance_destroyer.power_groups.weapons.label,assets/entities/alliance_destroyer.toml → [power_groups.weapons] label,Weapons
entity.alliance_destroyer.power_groups.shields.label,assets/entities/alliance_destroyer.toml → [power_groups.shields] label,Shields
entity.alliance_destroyer.station.captain.description,assets/entities/alliance_destroyer.toml → [station] description,Command the ship and monitor sensors.
entity.alliance_destroyer.station.helm.description,assets/entities/alliance_destroyer.toml → [station] description,Pilot the ship.
entity.alliance_destroyer.station.tactical.description,assets/entities/alliance_destroyer.toml → [station] description,"[Manage weapons, navigation and comms.]"
entity.alliance_destroyer.station.engineering.description,assets/entities/alliance_destroyer.toml → [station] description,"[Manage shields, power and repairs.]"
entity.alliance_destroyer.station.command.description,assets/entities/alliance_destroyer.toml → [station] description,[Direct the ship's AI-run stations.]
entity.alliance_destroyer.station.tactical.stance.weapons_free,assets/entities/alliance_destroyer.toml → [station.stance] label,[Weapons Free]
entity.alliance_destroyer.station.tactical.stance.hold,assets/entities/alliance_destroyer.toml → [station.stance] label,[Hold Fire]
entity.alliance_destroyer.station.tactical.stance.normal,assets/entities/alliance_destroyer.toml → [station.stance] label,[Follow Alert (Standing By)]
entity.alliance_destroyer.station.tactical.stance.high,assets/entities/alliance_destroyer.toml → [station.stance] label,[Follow Alert (Battle Stations)]
entity.alliance_destroyer.station.helm.tutorial.welcome.title,assets/entities/alliance_destroyer.toml → [station.tutorial] title — first-visit helm tip heading,WELCOME TO HELM
entity.alliance_destroyer.station.helm.tutorial.welcome.text,assets/entities/alliance_destroyer.toml → [station.tutorial] text — first-visit helm tip body,[You fly the destroyer. The radar shows space around you — up is always your heading. Your flight controls are on the right.]
entity.alliance_destroyer.station.helm.tutorial.joystick.title,assets/entities/alliance_destroyer.toml → [station.tutorial] title — flight-stick tip heading,FLIGHT STICK
entity.alliance_destroyer.station.helm.tutorial.joystick.text,assets/entities/alliance_destroyer.toml → [station.tutorial] text — flight-stick tip body,"[Drag the flight stick: push up to thrust, pull sideways to steer. The ship holds your last input until you move it again.]"
entity.alliance_destroyer.station.helm.tutorial.lateral.title,assets/entities/alliance_destroyer.toml → [station.tutorial] title — lateral-thrust tip heading,LATERAL THRUST
entity.alliance_destroyer.station.helm.tutorial.lateral.text,assets/entities/alliance_destroyer.toml → [station.tutorial] text — lateral-thrust tip body,[The lower stick slides the ship sideways without turning — dodge incoming fire or drift across an enemy's aim.]
entity.alliance_destroyer.station.helm.tutorial.impulse.title,assets/entities/alliance_destroyer.toml → [station.tutorial] title — impulse-drive tip heading,IMPULSE DRIVE
entity.alliance_destroyer.station.helm.tutorial.impulse.text,assets/entities/alliance_destroyer.toml → [station.tutorial] text — impulse-drive tip body,[Impulse charges up and then hurls the ship forward in a burst. Press to start charging; press again to cancel.]
entity.alliance_destroyer.station.helm.tutorial.boost.title,assets/entities/alliance_destroyer.toml → [station.tutorial] title — boost-ready contextual tip heading,BOOST READY
entity.alliance_destroyer.station.helm.tutorial.boost.text,assets/entities/alliance_destroyer.toml → [station.tutorial] text — boost-ready contextual tip body,[Boost is charged. Hold the boost button for a burst of speed — the battery drains while it runs and recharges after.]
entity.alliance_destroyer.station.helm.tutorial.red_alert.title,assets/entities/alliance_destroyer.toml → [station.tutorial] title — red-alert contextual tip heading,RED ALERT
entity.alliance_destroyer.station.helm.tutorial.red_alert.text,assets/entities/alliance_destroyer.toml → [station.tutorial] text — red-alert contextual tip body,[Hostile weapon arcs now paint onto your radar. Keep the ship out of the shaded wedges while Tactical returns fire.]
entity.alliance_destroyer.station.captain.tutorial.welcome.title,assets/entities/alliance_destroyer.toml → [station.tutorial] title — first-visit captain tip heading,CAPTAIN'S CHAIR
entity.alliance_destroyer.station.captain.tutorial.welcome.text,assets/entities/alliance_destroyer.toml → [station.tutorial] text — first-visit captain tip body,"[You command the destroyer. Read the sensor scope, point the viewscreen, keep the crew's objectives straight, and call Red Alert when it's time to fight.]"
entity.alliance_destroyer.station.captain.tutorial.camera.title,assets/entities/alliance_destroyer.toml → [station.tutorial] title — viewscreen-camera tip heading,VIEWSCREEN
entity.alliance_destroyer.station.captain.tutorial.camera.text,assets/entities/alliance_destroyer.toml → [station.tutorial] text — viewscreen-camera tip body,[Switch the main viewscreen between camera angles so the crew sees what matters most right now.]
entity.alliance_destroyer.station.captain.tutorial.sensors_target.title,assets/entities/alliance_destroyer.toml → [station.tutorial] title — sensor-scan tip heading,[SCAN A CONTACT]
entity.alliance_destroyer.station.captain.tutorial.sensors_target.text,assets/entities/alliance_destroyer.toml → [station.tutorial] text — sensor-scan tip body,"[Tap a contact on the sensor scope to scan it — its class, heading and shield strength appear below.]"
entity.alliance_destroyer.station.captain.tutorial.objectives.title,assets/entities/alliance_destroyer.toml → [station.tutorial] title — objectives tip heading,OBJECTIVES
entity.alliance_destroyer.station.captain.tutorial.objectives.text,assets/entities/alliance_destroyer.toml → [station.tutorial] text — objectives tip body,[Boost an objective's priority to flag it for the crew as the current focus.]
entity.alliance_destroyer.station.captain.tutorial.red_alert.title,assets/entities/alliance_destroyer.toml → [station.tutorial] title — red-alert-authority tip heading,RED ALERT
entity.alliance_destroyer.station.captain.tutorial.red_alert.text,assets/entities/alliance_destroyer.toml → [station.tutorial] text — red-alert-authority tip body,[Only you can call it. Red Alert arms the crew's weapons and puts hostile firing arcs on Helm's radar.]
entity.alliance_destroyer.station.captain.tutorial.red_alert_active.title,assets/entities/alliance_destroyer.toml → [station.tutorial] title — red-alert-active contextual tip heading,[AT RED ALERT]
entity.alliance_destroyer.station.captain.tutorial.red_alert_active.text,assets/entities/alliance_destroyer.toml → [station.tutorial] text — red-alert-active contextual tip body,[The ship is armed and hostile arcs are live on Helm's radar. Watch Sensors for threat details while the crew fights.]
entity.alliance_destroyer.station.tactical.tutorial.welcome.title,assets/entities/alliance_destroyer.toml → [station.tutorial] title — first-visit tactical tip heading,WEAPONS STATION
entity.alliance_destroyer.station.tactical.tutorial.welcome.text,assets/entities/alliance_destroyer.toml → [station.tutorial] text — first-visit tactical tip body,"[You run the destroyer's guns. Lock a target on the radar, then work the omni phaser, forward blasters and torpedo tubes to bring it down — and keep an ear on Comms for orders.]"
entity.alliance_destroyer.station.tactical.tutorial.lock_target.title,assets/entities/alliance_destroyer.toml → [station.tutorial] title — target-lock tip heading,[LOCK A TARGET]
entity.alliance_destroyer.station.tactical.tutorial.lock_target.text,assets/entities/alliance_destroyer.toml → [station.tutorial] text — target-lock tip body,[Tap a contact on the radar to lock it as your target. Blasters and torpedoes need a lock before they'll fire.]
entity.alliance_destroyer.station.tactical.tutorial.phaser.title,assets/entities/alliance_destroyer.toml → [station.tutorial] title — omni-phaser tip heading,OMNI PHASER
entity.alliance_destroyer.station.tactical.tutorial.phaser.text,assets/entities/alliance_destroyer.toml → [station.tutorial] text — omni-phaser tip body,"[The phaser fires in every direction and needs no lock. Toggle Auto/Manual, or press Fire yourself in Manual mode.]"
entity.alliance_destroyer.station.tactical.tutorial.blaster.title,assets/entities/alliance_destroyer.toml → [station.tutorial] title — forward-blasters tip heading,FORWARD BLASTERS
entity.alliance_destroyer.station.tactical.tutorial.blaster.text,assets/entities/alliance_destroyer.toml → [station.tutorial] text — forward-blasters tip body,"[Port and starboard blasters cover a narrow forward arc. Hold Fire to charge a volley, release to launch it.]"
entity.alliance_destroyer.station.tactical.tutorial.torpedo.title,assets/entities/alliance_destroyer.toml → [station.tutorial] title — torpedo-tubes tip heading,TORPEDO TUBES
entity.alliance_destroyer.station.tactical.tutorial.torpedo.text,assets/entities/alliance_destroyer.toml → [station.tutorial] text — torpedo-tubes tip body,"[Fore and aft tubes load automatically. Use +/- to set how many rounds to hold loaded, then press Fire to launch them at your locked target.]"
entity.alliance_destroyer.station.engineering.tutorial.welcome.title,assets/entities/alliance_destroyer.toml → [station.tutorial] title — first-visit engineering tip heading,ENGINEERING STATION
entity.alliance_destroyer.station.engineering.tutorial.welcome.text,assets/entities/alliance_destroyer.toml → [station.tutorial] text — first-visit engineering tip body,"[You keep the destroyer alive. Balance reactor power between Helm, Weapons and Sensors, focus shields toward incoming fire, and send repair teams to anything that's hurting.]"
entity.alliance_destroyer.station.engineering.tutorial.power.title,assets/entities/alliance_destroyer.toml → [station.tutorial] title — power-allocation tip heading,POWER ALLOCATION
entity.alliance_destroyer.station.engineering.tutorial.power.text,assets/entities/alliance_destroyer.toml → [station.tutorial] text — power-allocation tip body,[Use +/- to shift reactor power between groups. Pull power from what you don't need to push more into what you do.]
entity.alliance_destroyer.station.engineering.tutorial.shields.title,assets/entities/alliance_destroyer.toml → [station.tutorial] title — shield-focus tip heading,SHIELD FOCUS
entity.alliance_destroyer.station.engineering.tutorial.shields.text,assets/entities/alliance_destroyer.toml → [station.tutorial] text — shield-focus tip body,[Focus an arc to boost its regen against the bearing you're taking fire from — every other arc regens slower while it's focused.]
entity.alliance_destroyer.station.engineering.tutorial.repair.title,assets/entities/alliance_destroyer.toml → [station.tutorial] title — repair-teams tip heading,REPAIR TEAMS
entity.alliance_destroyer.station.engineering.tutorial.repair.text,assets/entities/alliance_destroyer.toml → [station.tutorial] text — repair-teams tip body,[Dispatch a team to a damaged system to start repairs. A team already on a job can be given priority over the others.]
